Link,Name
www.aduteknokent.com,Adnan Menderes Üniversitesi Teknoloji Geliştirme Bölgesi
http://zaferteknopark.com.tr/,Afyon Uşak Zafer Teknoloji Geliştirme Bölgesi
http://cyberpark.com.tr/,Ankara Teknoloji Geliştirme Bölgesi
www.teknoparkankara.com.tr,Ankara Teknopark Teknoloji Geliştirme Bölgesi
http://ankarateknokent.com/,Ankara Üniversitesi Teknoloji Geliştirme Bölgesi
#,Antalya Organize Sanayi Bölgesi Teknoloji Geliştirme Bölgesi
#,ASO Teknopark Teknoloji Geliştirme Bölgesi
#,Balıkesir Üniversitesi Teknoloji Geliştirme Bölgesi
http://ateknokent.com,Batı Akdeniz Teknokenti Teknoloji Geliştirme Bölgesi
#,Batman Üniversitesi Teknoloji Geliştirme Bölgesi
http://teknopark.boun.edu.tr/,Boğaziçi Üniversitesi Teknoloji Geliştirme Bölgesi
http://teknokent.ibu.edu.tr/,Bolu Teknoloji Geliştirme Bölgesi
http://bozokteknopark.com.tr/,Bozok Teknoloji Geliştirme Bölgesi
http://teknokent.cbu.edu.tr/,Celal Bayar Üniversitesi Teknoloji Geliştirme Bölgesi
http://cumhuriyetteknokent.com/,Cumhuriyet Teknoloji Geliştirme Bölgesi
http://canakkaleteknopark.com/,Çanakkale Teknoloji Geliştirme Bölgesi
#,ÇANKIRI TEKNOLOJİ GELİŞTİRME BÖLGESİ
http://www.corumteknokent.org/,Çorum Teknoloji Geliştirme Bölgesi 
http://teknokent.cukurova.edu.tr/,Çukurova Teknoloji Geliştirme Bölgesi
http://dicleteknokent.com/,Dicle Üniversitesi Teknoloji Geliştirme Bölgesi
http://www.depark.com/,Dokuz Eylül Teknoloji Geliştirme Bölgesi
www.budotek.com.tr,Dudullu OSB Boğaziçi Üniversitesi Teknoloji Geliştirme Bölgesi
http://duzceteknopark.com.tr/,Düzce Teknopark Teknoloji Geliştirme Bölgesi
http://www.teknoparkege.com,Ege Teknopark Teknoloji Geliştirme Bölgesi 
http://www.erciyesteknopark.com/,Erciyes Üniversitesi Teknoloji Geliştirme Bölgesi
http://www.atateknokent.com.tr/,Erzurum Teknoloji Geliştirme Bölgesi
http://www.atap.com.tr/,Eskişehir Teknoloji Geliştirme Bölgesi
http://www.firatteknokent.com.tr/,Fırat Teknoloji Geliştirme Bölgesi
#,Finans Teknopark Teknoloji Geliştirme Bölgesi
http://teknopark.gazi.edu.tr/,Gazi Teknopark Teknoloji Geliştirme Bölgesi
#,Gaziantep OSB Teknoloji Geliştirme Bölgesi
http://www.gaziantepteknopark.com.tr/,Gaziantep Teknoloji Geliştirme Bölgesi
#,GEBZE TEKNİK ÜNİVERSİTESİ TEKNOLOJİ GELİŞTİRME BÖLGESİ
http://www.gosbteknopark.com/,GOSB Teknopark Teknoloji Geliştirme Bölgesi
http://gbteknokent.com/,Göller Bölgesi Teknoloji Geliştirme Bölgesi
http://hacettepeteknokent.com.tr/,Hacettepe Üniversitesi Teknoloji Geliştirme Bölgesi
http://www.sanliurfateknokent.com.tr/,Harran Üniversitesi Teknoloji Geliştirme Bölgesi
#,Hatay Teknoloji Geliştirme Bölgesi
http://www.imuteknopark.com/,İstanbul Medeniyet Üniversitesi Teknoloji Geliştirme Bölgesi
www.zaimteknopark.com         www.zaimteknopark.com.tr,İstanbul Sabahattin Zaim Üniversitesi Teknoloji Geliştirme Bölgesi
http://www.teknoparkistanbul.com.tr/,İstanbul Teknoloji Geliştirme Bölgesi
http://www.entertech.com.tr/,İstanbul Üniversitesi Teknoloji Geliştirme Bölgesi
http://teknokent.istanbul.edu.tr/,İTÜ Arı Teknokent Teknoloji Geliştirme Bölgesi
http://www.izmirbilimpark.com.tr/,İzmir Bilim ve Teknoloji Parkı Teknoloji Geliştirme Bölgesi
http://teknoparkizmir.com.tr/,İzmir Teknoloji Geliştirme Bölgesi
http://teknokent.ksu.edu.tr/,Kahramanmaraş Teknoloji Geliştirme Bölgesi
#,Kapadokya Teknoloji Geliştirme Bölgesi
#,Karabük Üniversitesi Teknoloji Geliştirme Bölgesi
#,Karaman Teknoloji Geliştirme Bölgesi
#,KASTAMONU ÜNİVERSİTESİ TEKNOLOJİ GELİŞTİRME BÖLGES
http://teknokent.kku.edu.tr/,Kırıkkale Üniversitesi Teknoloji Geliştirme Bölgesi
#,Kırklareli Üniversitesi Teknoloji Geliştirme Bölgesi
http://www.kouteknopark.com/,Kocaeli Üniversitesi Teknoloji Geliştirme Bölgesi
http://innopark.com.tr/tr/home/index/,Konya Teknoloji Geliştirme Bölgesi
